;1-ZCRm;2-Energym;3-EnergyEntropym;4-SpectralCentroidm;5-SpectralSpreadm;6-SpectralEntropym;7-SpectralFluxm;8-SpectralRolloffm;9-MFCCs1m;10-MFCCs2m;11-MFCCs3m;12-MFCCs4m;13-MFCCs5m;14-MFCCs6m;15-MFCCs7m;16-MFCCs8m;17-MFCCs9m;18-MFCCs10m;19-MFCCs11m;20-MFCCs12m;21-MFCCs13m;22-ChromaVector1m;23-ChromaVector2m;24-ChromaVector3m;25-ChromaVector4m;26-ChromaVector5m;27-ChromaVector6m;28-ChromaVector7m;29-ChromaVector8m;30-ChromaVector9m;31-ChromaVector10m;32-ChromaVector11m;33-ChromaVector12m;34-ChromaDeviationm;35-ZCRstd;36-Energystd;37-EnergyEntropystd;38-SpectralCentroidstd;39-SpectralSpreadstd;40-SpectralEntropystd;41-SpectralFluxstd;42-SpectralRolloffstd;43-MFCCs1std;44-MFCCs2std;45-MFCCs3std;46-MFCCs4std;47-MFCCs5std;48-MFCCs6std;49-MFCCs7std;50-MFCCs8std;51-MFCCs9std;52-MFCCs10std;53-MFCCs11std;54-MFCCs12std;55-MFCCs13std;56-ChromaVector1std;57-ChromaVector2std;58-ChromaVector3std;59-ChromaVector4std;60-ChromaVector5std;61-ChromaVector6std;62-ChromaVector7std;63-ChromaVector8std;64-ChromaVector9std;65-ChromaVector10std;66-ChromaVector11std;67-ChromaVector12std;68-ChromaDeviationstd;69-BPM;70-BPMconf;71-BPMessentia;class
0;0.136;0.089;3.201;0.263;0.249;1.114;0.007;0.257;-22.723;1.594;0.011;0.204;0.042;0.049;0.159;0.119;-0.148;-0.186;-0.026;-0.007;-0.018;0.012;0.009;0.041;0.014;0.026;0.013;0.060;0.003;0.005;0.010;0.026;0.004;0.032;0.050;0.047;0.103;0.041;0.018;0.415;0.006;0.134;0.838;0.506;0.356;0.336;0.289;0.279;0.283;0.300;0.288;0.297;0.259;0.238;0.195;0.013;0.012;0.032;0.015;0.020;0.013;0.046;0.003;0.005;0.011;0.024;0.005;0.015;133.333;0.133;128;BigRoom
1;0.117;0.108;3.194;0.248;0.250;1.066;0.005;0.200;-21.776;1.261;-0.113;0.002;-0.053;0.204;0.153;0.067;-0.013;-0.059;-0.009;0.114;0.171;0.007;0.003;0.086;0.008;0.016;0.009;0.088;0.002;0.007;0.007;0.015;0.006;0.041;0.044;0.044;0.099;0.039;0.019;0.407;0.004;0.110;0.624;0.477;0.353;0.336;0.284;0.270;0.244;0.247;0.257;0.272;0.269;0.222;0.187;0.007;0.003;0.059;0.009;0.016;0.009;0.072;0.004;0.006;0.007;0.015;0.006;0.019;120.000;0.113;126;BigRoom
2;0.085;0.129;3.124;0.217;0.229;0.790;0.008;0.157;-22.473;1.425;0.187;0.417;0.076;0.191;-0.016;0.075;0.108;0.217;0.096;0.021;-0.037;0.007;0.003;0.221;0.006;0.010;0.007;0.044;0.001;0.004;0.008;0.018;0.003;0.066;0.033;0.038;0.118;0.042;0.023;0.340;0.008;0.086;1.029;0.449;0.298;0.267;0.258;0.275;0.218;0.198;0.210;0.213;0.204;0.198;0.165;0.008;0.003;0.094;0.006;0.008;0.005;0.043;0.002;0.005;0.008;0.017;0.003;0.022;133.333;0.123;129;BigRoom
3;0.103;0.167;3.151;0.234;0.245;0.967;0.007;0.168;-21.471;1.464;0.227;0.405;0.118;0.082;0.054;0.165;0.015;0.117;0.028;-0.063;-0.053;0.011;0.003;0.125;0.006;0.015;0.006;0.072;0.002;0.003;0.011;0.032;0.005;0.046;0.036;0.062;0.135;0.033;0.020;0.365;0.005;0.086;0.770;0.425;0.245;0.260;0.224;0.208;0.199;0.208;0.190;0.186;0.187;0.178;0.165;0.008;0.004;0.061;0.005;0.012;0.005;0.058;0.002;0.004;0.009;0.023;0.004;0.015;133.333;0.159;129;BigRoom
4;0.152;0.148;3.194;0.294;0.267;1.353;0.004;0.292;-21.371;1.188;0.184;0.364;0.232;0.112;0.107;0.159;0.067;-0.019;0.092;0.117;0.092;0.010;0.004;0.076;0.008;0.016;0.010;0.088;0.003;0.004;0.011;0.024;0.002;0.037;0.055;0.041;0.122;0.037;0.018;0.459;0.003;0.148;1.023;0.431;0.352;0.328;0.237;0.231;0.237;0.257;0.270;0.242;0.230;0.211;0.180;0.011;0.005;0.047;0.009;0.016;0.009;0.069;0.004;0.004;0.011;0.028;0.003;0.019;133.333;0.191;129;BigRoom
5;0.127;0.153;3.222;0.262;0.257;1.090;0.005;0.230;-21.235;1.542;0.049;0.195;0.064;0.058;0.051;0.072;0.006;0.012;0.068;0.130;0.104;0.009;0.006;0.080;0.012;0.015;0.012;0.079;0.002;0.005;0.012;0.032;0.002;0.042;0.050;0.048;0.073;0.044;0.019;0.462;0.004;0.138;0.872;0.418;0.324;0.332;0.241;0.213;0.225;0.226;0.237;0.228;0.233;0.216;0.194;0.010;0.008;0.058;0.011;0.012;0.011;0.060;0.003;0.007;0.010;0.025;0.003;0.019;133.333;0.169;129;BigRoom
6;0.123;0.106;3.168;0.245;0.245;1.107;0.008;0.217;-22.684;1.405;0.119;0.647;0.091;0.175;0.053;0.024;-0.046;0.154;0.127;0.028;-0.152;0.014;0.002;0.093;0.010;0.022;0.006;0.044;0.003;0.008;0.013;0.023;0.003;0.034;0.038;0.056;0.121;0.037;0.019;0.368;0.007;0.100;0.861;0.553;0.286;0.266;0.253;0.214;0.215;0.208;0.206;0.221;0.235;0.195;0.176;0.016;0.002;0.051;0.013;0.020;0.005;0.041;0.003;0.007;0.011;0.019;0.003;0.013;133.333;0.260;133;BigRoom
7;0.140;0.085;3.148;0.267;0.259;1.189;0.008;0.260;-22.707;1.468;-0.155;0.398;0.232;0.164;0.049;0.041;-0.108;-0.067;0.033;0.071;0.083;0.008;0.003;0.077;0.007;0.017;0.012;0.102;0.002;0.004;0.008;0.026;0.003;0.040;0.046;0.042;0.113;0.043;0.018;0.376;0.006;0.149;0.899;0.373;0.330;0.267;0.280;0.217;0.185;0.194;0.189;0.191;0.187;0.173;0.165;0.008;0.003;0.057;0.006;0.013;0.010;0.060;0.003;0.004;0.007;0.025;0.003;0.015;133.333;0.199;129;BigRoom
8;0.118;0.147;3.183;0.244;0.245;1.099;0.005;0.196;-20.838;1.456;0.017;0.267;0.103;0.084;-0.004;-0.009;-0.077;0.091;0.039;0.082;0.021;0.010;0.004;0.088;0.009;0.012;0.009;0.059;0.003;0.008;0.019;0.027;0.003;0.036;0.033;0.048;0.093;0.030;0.016;0.332;0.003;0.083;0.638;0.340;0.284;0.269;0.296;0.246;0.231;0.212;0.205;0.195;0.205;0.214;0.191;0.009;0.003;0.049;0.008;0.009;0.009;0.053;0.003;0.008;0.013;0.025;0.003;0.014;133.333;0.149;133;BigRoom
9;0.137;0.127;3.118;0.298;0.279;1.077;0.007;0.272;-22.963;1.706;0.136;0.123;-0.005;-0.025;-0.052;0.030;0.091;0.138;0.110;0.042;0.042;0.008;0.003;0.118;0.005;0.013;0.006;0.073;0.002;0.005;0.013;0.025;0.004;0.043;0.064;0.068;0.180;0.057;0.021;0.531;0.005;0.198;1.312;0.466;0.359;0.338;0.311;0.261;0.243;0.232;0.219;0.269;0.208;0.205;0.193;0.008;0.004;0.071;0.005;0.013;0.006;0.061;0.002;0.006;0.013;0.025;0.005;0.019;133.333;0.172;133;BigRoom
